id;cognome;nome;ruoli
12357;Frisari;Francesco;CURATORE
12358;Suber;Micol;CURATORE
12386;Camporeale;Francesco;ILLUSTRATORE
12407;Fior;Manuele;ILLUSTRATORE
12457;Giraldo;Maria Loretta;AUTORE
12476;Bartoletti;Ivana;";AUTORE;PREFATORE"
12492;Jovanotti;Lorenzo;"AUTORE;CURATORE;PREFATORE"
12502;Marsullo;Marco;AUTORE
12517;Serreli;Silvia;AUTORE
12543;Francesco Bruno; ;TRADUTTORE
12555;Ossola;Carlo ;"AUTORE;CURATORE;INTRODUZIONE"
12591;Deaglio;Enrico;AUTORE
12613;Veltroni;Walter;AUTORE
12652;Forcellini;Paolo;AUTORE
12681;Castro;Maurizio;CURATORE
12683;Lenze;Ulla;AUTORE
12706;Engberg;Katrine;AUTORE
12718;Christie;Michael;AUTORE
12720;Bågstam;Anna;AUTORE
12722;Martínez;Guillermo;AUTORE
12723;Modica;Luciano;AUTORE
12724;Romero;Fulvio Luna;AUTORE
12729;Zollo;Giuseppe;AUTORE
12730;Cerni;Enrico;AUTORE
12732;Omero; ;AUTORE
12736;Ovidio; ;AUTORE
12738;Tennyson; ;AUTORE
12762;Lucetta Scaraffia; ;"AUTORE;INTRODUZIONE"
12825;James;Henry;AUTORE
12937;Atwood; ;AUTORE
12938;Machiavelli; ;AUTORE
12939;Webster; ;AUTORE
12940;Plutarco; ;AUTORE
12984;Euripide; ;AUTORE
13020;Pascoli; ;AUTORE
13021;Dallapiccola; ;AUTORE
13022;Dante; ;AUTORE
13159;La Fontaine; ;AUTORE
13168;Luca Zaia; ;PREFAZIONE
13375;Sofocle; ;AUTORE
14140;Amlesù;Ida;"AUTORE;TRADUTTORE"
14141;Foley;Elizabeth;AUTORE
14142;Coates;Beth;AUTORE
14150;Paolo Perucci; ;PREFAZIONE
14156;Danese;Silvio;AUTORE
14157;Potacqui;Luigi;AUTORE
14159;Fein;Louise;AUTORE
14912;Qvortrup;Puk;AUTORE
14919;Prestia;Nikolai;AUTORE
14925;Manetti;Daniela;AUTORE
14928;Tomasello;Dario;AUTORE
14930;Sarchi;Alessandra;CURATORE
14931;Petruccioli;Claudio;AUTORE
14933;Ferracchiati;Liv;AUTORE
14947;Della Seta;Valentina;AUTORE
14950;Shellenberger;Michael;AUTORE
14951;Soncini;Guia;AUTORE
14952;Foa;Anna;AUTORE
14956;Santoro;Michele;AUTORE
16061;Afrifa;Viola;AUTORE
16062;Ricci;Valentina;AUTORE
16063;Rimondi;Romana;ILLUSTRATORE
16064;Jannini;Emmanuele Angelo Francesco;AUTORE
16065;Poggiogalle;Eleonora;AUTORE
16068;Fellus;Gabrielle;AUTORE
16069;Stinson;Barney;AUTORE
16070;Spisni;Enzo;AUTORE
16071;Veronesi;Giulia;AUTORE
16190;Viola;Antonella;AUTORE
17435;Muñoz Morales;Rocío;AUTORE
17585;Mieli;Mario;AUTORE
17589;Läckberg;Camilla;AUTORE
17590;Cangemi;Laura;TRADUTTORE
17611;Roversi;Paolo;AUTORE
17613;Zaccaria;Giuseppe;
17614;Pressburger;Giorgio;AUTORE
17616;Gnoli;Antonio;AUTORE
