id;isbn13;titolo;sottotitolo;collana_id;collana;in_libreria;in_magazzino;tipo;redazione;marchio_editoriale;autori;curatori;prefatori;traduttori;illustratori;cedola;data_cedola;modifica
107849;9788807896576;Apeirogon;;97;Universale Economica;;;economica;GGF;FELTRINELLI;7900;;;7993;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 18:36:26.89552+01
107855;9788807070549;Gravianos;da definire;802;Feltrinelli Fuochi;2022-05-12;2022-05-02;major;GGF;FELTRINELLI;12591;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-15 14:46:46.528453+01
107862;9788807174117;La sfida verde;Diritto al lavoro o diritto alla salute?;74;Serie Bianca;2022-05-26;2022-05-16;major;GGF;FELTRINELLI;19369;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:18:18.544109+01
107863;9788807896569;Lettere d'amore da Montmartre;;97;Universale Economica;;;economica;GGF;FELTRINELLI;4102;;;2752;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 19:08:05.188474+01
107866;9788807105647;La speranza progettuale;Ambiente e società;77;Campi Del Sapere;2022-04-28;2022-04-14;major;GGF;FELTRINELLI;176688;"7753;205730";"7753;197555";;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-16 09:42:52.632808+01
107873;9788807896613;Chi ha peccato;;103;Universale Economica Noir;;;economica;GGF;FELTRINELLI;12370;;;18940;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:57:23.82143+01
107878;9788807896781;L'Italia in guerra;1915-1918. Niente sarà come prima;941;Universale Economica Ragazzi;2022-05-12;2022-05-02;economica;GGF;FELTRINELLI;10008482;;;;5532;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-09 14:34:08.849804+01
107883;9788807896620;Il testimone chiave;Le indagini di Anna Melissari. 2;103;Universale Economica Noir;;;economica;GGF;FELTRINELLI;7824;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:56:53.767493+01
107900;9788807896606;Pista letale;Le indagini del commissario Courrèges;103;Universale Economica Noir;;;economica;GGF;FELTRINELLI;5968;;;1000407;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:57:56.003682+01
107904;9788807896675;Tutte le vite di Spinoza;Amsterdam 1677: l'invenzione della libertà;571;Universale Economica Saggi Rossi;;;economica;GGF;FELTRINELLI;7694;;;7588;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 18:35:58.34103+01
107906;9788807035029;Gli oscuri resti;Le indagini di Laidlaw;68;I Narratori;2022-07-05;2022-06-23;major;GGF;FELTRINELLI;"19371;4783";;;4816;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 19:22:19.820109+01
